Sample,Antigen,IgG1,IgG1f,IgG3,IgG3f
56,B.1.1.7.S,12.816223060671913,12.685207223257581,338586.87037708354,381951.9453215906
56,B.1.351.RBD,0.1160308122090689,0.1160647594477832,161891.27679554303,572962.3476013102
56,B.1.351.S,5.657931338973514,5.619973385111313,555703.4725789363,1547588.7609942174
56,B.1.617.2.RBD,0.009536711119192093,0.009536888694495305,130670.89407371783,382110.4893873123
56,B.617.1.RBD,0.05594285159624157,0.05594923306590152,151466.4619245129,422138.6028772505
56,B.617.1.S,1198.42624840464,832.7110182979584,474586.80379069154,883528.4619242476
56,B.617.2.S,32.43837360144535,31.435964806664703,448387.8229043529,625673.731313797
56,WT.N,122.60761699013098,114.97298925066181,474223.6790568575,245458.98178681429
56,WT.NTD,0.034902529925651044,0.0349048463873605,189756.82436277252,450427.74852808396
56,WT.RBD,125.9625792695183,115.75135078151753,459243.3701185162,449986.55753232044
56,WT.S,0.5536895052515669,0.5537111109845998,283794.91744961706,489652.15231098555
56,WT.S1,0.1462109664238312,0.14619147032236332,260824.68022312105,393776.999806605
56,WT.S2,0.35176601319032913,0.35193904662456876,160200.4183427694,524568.4818725503
57,B.1.1.7.RBD,3430.299070736001,2531.894799911941,247024.01678469215,678330.471828673
57,B.1.1.7.S,33621.96681774432,698.0782178571029,526911.2483929407,2340401.121579248
57,B.1.351.RBD,63.21378819233031,70.80423604643269,215905.2266488904,761282.0516909045
57,B.1.351.S,1955555.0645231635,1802.4616034569917,162550.04941780676,5595545.06910128
57,B.1.617.2.RBD,0.7069439159996156,0.7080356808415986,112421.96522910657,516303.7812829038
57,B.617.1.RBD,8.335439270006587,8.458918305221749,164743.8617122442,805444.0033975093
57,B.617.1.S,143540.1000780003,500.69074721269646,393076.63252017816,3706058.1727827173
57,B.617.2.S,411709.2856168929,6256.891563799369,1318577.172630731,8184201.378021006
57,WT.N,188.46732093321788,227.6853583215587,221118.07899471142,890138.6546706061
57,WT.NTD,0.567701251008502,0.5683189909372305,207611.9329847144,1049344.2014292032
57,WT.RBD,160266.883459111,2505.2808184975675,962194.4748470677,4704331.445295675
57,WT.S,18030.03219207247,1970.6536757244812,699716.5403871838,2690523.808669627
57,WT.S1,2766.2993043354727,636.8453580122125,382190.92927473906,1146434.9385169833
57,WT.S2,37.75610032363585,40.18224114896907,150123.64240147444,731046.8735122023
58,B.1.1.7.RBD,22092.645601969496,910.5793246087349,467441.8161512538,1252926.8246924465
58,B.1.1.7.S,261152.59386471953,18954.07213997096,1165580.736180034,6565326.932912242
58,B.1.351.RBD,57.873556218458454,63.72432661510217,211594.46629202465,618480.126795486
58,B.1.351.S,1749343.4407887901,1170.3994669376395,244300.96767523314,5012766.364544452
58,B.1.617.2.RBD,0.7347126702338778,0.7356660584524927,137217.17135915626,465306.30577466864
58,B.617.1.RBD,33.86647908181673,34.533443951912965,213768.93928997402,612522.8098169848
58,B.617.1.S,336784.26759107155,645.657793404591,494187.1433308697,5108906.763247951
58,B.617.2.S,60916.77190962388,1759.9525755147254,888415.6706368433,4654700.94182835
58,WT.N,130.12579541410526,145.62356382419188,270433.38104793645,993920.2666935758
58,WT.NTD,0.056288209403437754,0.056295761698245864,150377.72695058235,695132.9087838666
58,WT.RBD,9271.736820107062,1778836.1179437223,2213362.5935066077,8034820.986780823
58,WT.S,5885.40990786198,1127.7919570473907,559421.2408604837,2218214.7730479063
58,WT.S1,49319.58829660207,6119.144889060999,1114403.6992385893,4540636.789436562
58,WT.S2,233.91779564643957,245.08960199824853,210032.96058928696,649526.8691217029
59,B.1.1.7.RBD,14.367562681771371,14.753841738318815,182000.11580319676,435234.4052145336
59,B.1.1.7.S,3515.4028429351747,1457.7061098280842,956507.7595125576,279666.91673794563
59,B.1.351.RBD,0.1605440482602989,0.16061794037094723,159072.77651110743,529425.7690947275
59,B.1.351.S,1032900.3301938078,4859.11593218384,1502471.0116225134,2483.3819233528607
